grid_id,label,manual_class,overlap_area,overlap_share
424,1,living,42350.37513844014,0.4075166687117918
465,0,production,4957.4340129562115,0.04770293032133457
500,1,living,12565.449573299758,0.12091109309690629
566,0,production,14082.428284790552,0.13550822733651752
956,1,living,8998.820018232575,0.08659118471128326
1309,1,living,4687.128147319246,0.04510191095537872
1502,0,production,12738.921747016171,0.1225803298394145
2080,0,production,3469.1423424434824,0.033381837258042196
2462,0,production,15235.009957329417,0.1465989494838326
2566,1,living,12458.21563766357,0.11987923408284495
2812,1,living,36352.04767040753,0.3497977366000531
2927,1,living,32732.688608475353,0.3149704383089639
3620,1,living,35248.58512093174,0.33917966341913103
3695,1,living,8040.120090363373,0.07736609049109924
3810,1,living,6985.782632308986,0.06722072372089004
4417,0,production,7708.880771988217,0.07417873871122478
4431,0,production,5318.074159073198,0.051173191693517965
4580,1,living,16095.454451908392,0.1548785803717557
4751,0,production,12086.50264817925,0.1163024242274874
5162,1,living,18368.61694476455,0.1767520963324493
5741,1,living,4871.517058369536,0.04687619405271439
5984,1,living,30231.99129309403,0.2909074675300247
6066,0,production,19983.0146286741,0.1922866450593911
6199,0,production,48655.38406308397,0.4681866444768271
6359,0,production,9366.330082312665,0.09012755189757889
6869,0,production,23964.97251124874,0.23060305207621062
7067,1,living,6047.175007604514,0.0581889677764042
7438,1,living,5967.312828490263,0.05742049360981416
7854,0,production,15796.161757084643,0.15199863511570502
7965,1,living,7682.388446535974,0.07392381619403073
8094,0,production,11375.603948820688,0.10946179840580954
8226,0,production,31809.27915708931,0.30608492684807287
8272,1,living,29031.823840940615,0.2793588510050128
8658,1,living,3174.8645395140525,0.03055014782081736
8780,0,production,5526.173705513891,0.053175630483646104
8922,0,production,8868.968952884834,0.08534169227061525
9121,1,living,4063.883527138135,0.039104736890822396
9126,1,living,4870.006476231509,0.046861658469467285
9266,0,production,40086.270303084544,0.3857303101021428
9304,1,living,7430.654016150407,0.07150150054525199
9351,1,living,51716.57915901636,0.49764300758291485
9562,1,living,9348.658835325159,0.0899575102468115
9639,0,production,5841.63082721,0.05621111800710272
9804,0,production,81239.31076533269,0.7817256206849412
10063,0,production,8690.113280875274,0.0836206527890457
10087,1,living,4483.915741891301,0.04314649870185565
10093,1,living,12900.009419422195,0.12413039666877439
10161,0,production,10080.315858632828,0.096997883133404
10533,0,production,9304.037703543943,0.08952814321418766
10578,1,living,17451.028936437076,0.16792260173890525
10744,0,production,9576.692706603762,0.09215176716488702
10763,1,living,44853.173416395846,0.43159985601932177
11029,0,production,5325.436441516678,0.051244035289184496
11039,0,production,9756.573648092863,0.09388267230470536
11043,1,living,24484.130721693724,0.23559865421280696
11376,0,production,82771.49633676346,0.796469083005555
11395,0,production,20380.57670265566,0.19611218784141507
11458,1,living,8712.558041825394,0.08383662759919445
11530,1,living,11534.823491667223,0.11099388914824805
11762,1,living,64667.702123152325,0.6222652445480378
11855,0,production,30746.653956739556,0.295859811241316
11925,1,living,14492.692581401192,0.13945599731212294
11966,1,living,3406.8160563866554,0.03278210230015253
12335,1,living,64551.00018231312,0.6211422796214813
12617,0,production,29824.72174111163,0.2869885144967187
12736,0,production,6588.673976488518,0.06339954395648793
12868,0,production,11931.074833950242,0.11480681940932833
13054,1,living,53365.40146246002,0.513508807359913
13844,1,living,42940.66728939416,0.4131967575043774
14296,1,living,27141.77527926766,0.26117185050923436
14334,1,living,5956.1006180028635,0.05731260406688334
14871,1,living,29523.925357868113,0.284094099988583
15174,1,living,15461.453168446162,0.14877790026829643
15244,1,living,27187.031656666753,0.26160733019793125
15250,0,production,3923.7332740385946,0.03775614047160892
15292,1,living,19584.44880163975,0.18845144365602212
15451,0,production,8297.132240718029,0.07983919102281427
16032,0,production,6702.551377905194,0.0644953297462308
16189,1,living,18827.15887998296,0.18116441809503164
16411,1,living,34575.25999892342,0.33270058951634707
16920,1,living,17411.71556208654,0.16754430862023095
17048,1,living,15455.784869592404,0.1487233570376082
17117,0,production,4132.828681489138,0.03976816193792422
17155,0,production,6464.121297420269,0.06220103526041001
17177,0,production,13610.560634890891,0.13096767882651555
17364,1,living,8823.624861950379,0.0849053685583544
17553,0,production,37705.23164688103,0.3628187552924288
17861,1,living,11041.185667795588,0.10624385704543367
18181,1,living,31791.036334520963,0.30590938521391386
18301,1,living,7891.346747459662,0.07593451835326698
18653,0,production,7954.318782069478,0.07654046702890599
18951,1,living,34829.79531651079,0.335149856709658
19278,1,living,57510.47969137817,0.5533948406147239
19420,1,living,17737.64707575132,0.17068058602734237
19656,0,production,5717.063138523756,0.05501246488234324
